sv/,status,cputime (s),walltime (s),Should be,Compare,Witness Compare
ldv-linux-4.2-rc1/linux-4.2-rc1.tar.xz-32_7a-drivers--md--dm-thin-pool.ko-entry_point_true-unreach-call.cil.out.c,TRUE,0.76280827,TRUE,TRUE,OK,PARSE ERROR
ldv-linux-4.2-rc1/linux-4.2-rc1.tar.xz-32_7a-drivers--media--i2c--cx25840--cx25840.ko-entry_point_true-unreach-call.cil.out.c,TRUE,0.826194836,TRUE,TRUE,OK,PARSE ERROR
ldv-linux-4.2-rc1/linux-4.2-rc1.tar.xz-32_7a-drivers--media--usb--dvb-usb-v2--dvb-usb-mxl111sf.ko-entry_point_true-unreach-call.cil.out.c,TRUE,0.696520992,TRUE,TRUE,OK,PARSE ERROR
ldv-linux-4.2-rc1/linux-4.2-rc1.tar.xz-32_7a-drivers--media--usb--ttusb-budget--dvb-ttusb-budget.ko-entry_point_true-unreach-call.cil.out.c,TRUE,0.288460137,TRUE,TRUE,OK,PARSE ERROR
ldv-linux-4.2-rc1/linux-4.2-rc1.tar.xz-32_7a-drivers--memstick--core--ms_block.ko-entry_point_true-unreach-call.cil.out.c,TRUE,0.342216313,TRUE,TRUE,OK,PARSE ERROR
ldv-linux-4.2-rc1/linux-4.2-rc1.tar.xz-32_7a-drivers--message--fusion--mptctl.ko-entry_point_true-unreach-call.cil.out.c,TRUE,0.327408429,TRUE,TRUE,OK,PARSE ERROR
ldv-linux-4.2-rc1/linux-4.2-rc1.tar.xz-32_7a-drivers--net--ethernet--broadcom--bnx2.ko-entry_point_true-unreach-call.cil.out.c,TRUE,0.833391887,TRUE,TRUE,OK,PARSE ERROR
ldv-linux-4.2-rc1/linux-4.2-rc1.tar.xz-32_7a-drivers--scsi--osst.ko-entry_point_true-unreach-call.cil.out.c,TRUE,0.545615906,TRUE,TRUE,OK,PARSE ERROR
ldv-linux-4.2-rc1/linux-4.2-rc1.tar.xz-32_7a-drivers--scsi--st.ko-entry_point_true-unreach-call.cil.out.c,TRUE,0.539364079,TRUE,TRUE,OK,PARSE ERROR
ldv-linux-4.2-rc1/linux-4.2-rc1.tar.xz-32_7a-drivers--staging--lustre--lnet--lnet--lnet.ko-entry_point_true-unreach-call.cil.out.c,TRUE,1.637175052,TRUE,TRUE,OK,PARSE ERROR
ldv-linux-4.2-rc1/linux-4.2-rc1.tar.xz-32_7a-drivers--staging--rts5208--rts5208.ko-entry_point_true-unreach-call.cil.out.c,TRUE,1.995634711,TRUE,TRUE,OK,PARSE ERROR
ldv-linux-4.2-rc1/linux-4.2-rc1.tar.xz-32_7a-drivers--usb--dwc2--dwc2.ko-entry_point_true-unreach-call.cil.out.c,TRUE,1.719965403,TRUE,TRUE,OK,PARSE ERROR
ldv-linux-4.2-rc1/linux-4.2-rc1.tar.xz-32_7a-drivers--usb--storage--usb-storage.ko-entry_point_true-unreach-call.cil.out.c,TRUE,0.567525387,TRUE,TRUE,OK,PARSE ERROR
ldv-linux-4.2-rc1/linux-4.2-rc1.tar.xz-43_2a-drivers--crypto--qat--qat_common--intel_qat.ko-entry_point_true-unreach-call.cil.out.c,TRUE,0.749878319,TRUE,TRUE,OK,PARSE ERROR
ldv-linux-4.2-rc1/linux-4.2-rc1.tar.xz-43_2a-drivers--md--dm-thin-pool.ko-entry_point_true-unreach-call.cil.out.c,TRUE,0.570090485,TRUE,TRUE,OK,PARSE ERROR
ldv-linux-4.2-rc1/linux-4.2-rc1.tar.xz-43_2a-drivers--media--i2c--cx25840--cx25840.ko-entry_point_true-unreach-call.cil.out.c,TRUE,0.661446228,TRUE,TRUE,OK,PARSE ERROR
ldv-linux-4.2-rc1/linux-4.2-rc1.tar.xz-43_2a-drivers--memstick--core--ms_block.ko-entry_point_true-unreach-call.cil.out.c,TRUE,0.308963155,TRUE,TRUE,OK,PARSE ERROR
ldv-linux-4.2-rc1/linux-4.2-rc1.tar.xz-43_2a-drivers--net--ethernet--broadcom--bnx2.ko-entry_point_true-unreach-call.cil.out.c,TRUE,0.837211079,TRUE,TRUE,OK,PARSE ERROR
ldv-linux-4.2-rc1/linux-4.2-rc1.tar.xz-43_2a-drivers--scsi--osst.ko-entry_point_true-unreach-call.cil.out.c,TRUE,0.505872157,TRUE,TRUE,OK,PARSE ERROR
ldv-linux-4.2-rc1/linux-4.2-rc1.tar.xz-43_2a-drivers--staging--lustre--lnet--lnet--lnet.ko-entry_point_true-unreach-call.cil.out.c,TRUE,1.605118515,TRUE,TRUE,OK,PARSE ERROR
ldv-linux-4.2-rc1/linux-4.2-rc1.tar.xz-43_2a-drivers--staging--rts5208--rts5208.ko-entry_point_true-unreach-call.cil.out.c,TRUE,1.919820345,TRUE,TRUE,OK,PARSE ERROR
ldv-validator-v0.6/linux-stable-5934df9-1-111_1a-drivers--scsi--gdth.ko-entry_point_false-unreach-call.cil.out.c,false(reach),0.735413309,TRUE,TRUE,OK,PARSE ERROR
ldv-validator-v0.8/linux-stable-5934df9-1-111_1a-drivers--scsi--gdth.ko-entry_point_ldv-val-v0.8_false-unreach-call.cil.out.c,false(reach),0.888321229,TRUE,TRUE,OK,PARSE ERROR
ldv-linux-3.4-simple/32_7_cilled_false-unreach-call_const_ok_linux-32_1-drivers--media--dvb--dvb-usb--dvb-usb-dib0700.ko-ldv_main0_sequence_infinite_withcheck_stateful.cil.out.c,false(reach),0.98001622,1.00373341,TRUE,OK,WRONG-TRUE
ldv-linux-3.4-simple/43_1a_cilled_true-unreach-call_ok_nondet_linux-43_1a-drivers--media--dvb--dvb-usb--dvb-usb-az6007.ko-ldv_main0_sequence_infinite_withcheck_stateful.cil.out.c,TRUE,0.348849522,0.377559894,TRUE,OK,PARSE ERROR
ldv-linux-3.4-simple/43_1a_cilled_true-unreach-call_ok_nondet_linux-43_1a-drivers--media--dvb--dvb-usb--dvb-usb-az6027.ko-ldv_main0_sequence_infinite_withcheck_stateful.cil.out.c,TRUE,0.345275588,0.364816381,TRUE,OK,PARSE ERROR
ldv-linux-3.4-simple/43_1a_cilled_true-unreach-call_ok_nondet_linux-43_1a-drivers--media--dvb--dvb-usb--dvb-usb-pctv452e.ko-ldv_main0_sequence_infinite_withcheck_stateful.cil.out.c,TRUE,0.338334851,0.36554955,TRUE,OK,PARSE ERROR
ldv-linux-3.4-simple/43_1a_cilled_true-unreach-call_ok_nondet_linux-43_1a-drivers--media--dvb--dvb-usb--dvb-usb-ttusb2.ko-ldv_main0_sequence_infinite_withcheck_stateful.cil.out.c,TRUE,0.282781554,0.305515091,TRUE,OK,PARSE ERROR
ldv-linux-3.7.3/linux-3.10-rc1-43_1a-bitvector-drivers--atm--he.ko-ldv_main0_true-unreach-call.cil.out.c,TRUE,0.478150845,0.504639434,TRUE,OK,TIMEOUT
ldv-linux-4.2-rc1/linux-4.2-rc1.tar.xz-08_1a-drivers--crypto--qat--qat_common--intel_qat.ko-entry_point_true-unreach-call.cil.out.c,TRUE,0.702649256,6.425712144,false(reach),OK,PARSE ERROR
ldv-linux-4.2-rc1/linux-4.2-rc1.tar.xz-08_1a-drivers--md--dm-cache.ko-entry_point_false-unreach-call.cil.out.c,false(reach),0.831802856,0.856255895,false(reach),OK,PARSE ERROR
ldv-linux-4.2-rc1/linux-4.2-rc1.tar.xz-08_1a-drivers--md--dm-thin-pool.ko-entry_point_true-unreach-call.cil.out.c,TRUE,0.568108432,1.001111293,false(reach),OK,PARSE ERROR
ldv-linux-4.2-rc1/linux-4.2-rc1.tar.xz-08_1a-drivers--media--i2c--cx25840--cx25840.ko-entry_point_true-unreach-call.cil.out.c,TRUE,0.645322472,1.454396153,false(reach),OK,PARSE ERROR
ldv-linux-4.2-rc1/linux-4.2-rc1.tar.xz-08_1a-drivers--net--ethernet--broadcom--bnx2.ko-entry_point_true-unreach-call.cil.out.c,TRUE,0.808671882,3.185805999,false(reach),OK,PARSE ERROR
ldv-linux-4.2-rc1/linux-4.2-rc1.tar.xz-08_1a-drivers--scsi--osst.ko-entry_point_true-unreach-call.cil.out.c,TRUE,0.518394376,0.545163472,false(reach),OK,PARSE ERROR
ldv-linux-4.2-rc1/linux-4.2-rc1.tar.xz-08_1a-drivers--scsi--st.ko-entry_point_true-unreach-call.cil.out.c,TRUE,0.52219165,0.551138596,false(reach),OK,PARSE ERROR
ldv-linux-4.2-rc1/linux-4.2-rc1.tar.xz-08_1a-drivers--staging--comedi--comedi.ko-entry_point_false-unreach-call.cil.out.c,false(reach),0.965407832,0.993730797,false(reach),OK,PARSE ERROR
ldv-linux-4.2-rc1/linux-4.2-rc1.tar.xz-08_1a-drivers--staging--lustre--lnet--lnet--lnet.ko-entry_point_true-unreach-call.cil.out.c,TRUE,1.553466044,1.580431062,false(reach),OK,PARSE ERROR
ldv-linux-4.2-rc1/linux-4.2-rc1.tar.xz-08_1a-drivers--staging--rts5208--rts5208.ko-entry_point_true-unreach-call.cil.out.c,TRUE,1.936508456,1.958851705,false(reach),OK,PARSE ERROR
ldv-linux-4.2-rc1/linux-4.2-rc1.tar.xz-08_1a-drivers--usb--dwc2--dwc2.ko-entry_point_true-unreach-call.cil.out.c,TRUE,1.699065922,1.768173246,TRUE,OK,PARSE ERROR
ldv-linux-4.2-rc1/linux-4.2-rc1.tar.xz-32_7a-drivers--char--lp.ko-entry_point_true-unreach-call.cil.out.c,TRUE,0.19858714,0.230492096,TRUE,OK,PARSE ERROR
ldv-linux-4.2-rc1/linux-4.2-rc1.tar.xz-32_7a-drivers--crypto--qat--qat_common--intel_qat.ko-entry_point_true-unreach-call.cil.out.c,TRUE,0.776357969,0.797496598,TRUE,OK,PARSE ERROR
ldv-linux-4.2-rc1/linux-4.2-rc1.tar.xz-32_7a-drivers--hid--hid-roccat-kovaplus.ko-entry_point_true-unreach-call.cil.out.c,TRUE,0.207800601,0.235400413,TRUE,OK,PARSE ERROR
ldv-linux-4.2-rc1/linux-4.2-rc1.tar.xz-32_7a-drivers--hid--hid-roccat-pyra.ko-entry_point_true-unreach-call.cil.out.c,TRUE,0.205478109,0.233563478,TRUE,OK,PARSE ERROR
ldv-linux-4.2-rc1/linux-4.2-rc1.tar.xz-32_7a-drivers--hwmon--lm78.ko-entry_point_true-unreach-call.cil.out.c,TRUE,0.342670507,0.366146531,TRUE,OK,PARSE ERROR
ldv-linux-4.2-rc1/linux-4.2-rc1.tar.xz-32_7a-drivers--isdn--i4l--isdn.ko-entry_point_true-unreach-call.cil.out.c,TRUE,1.688204191,1.713749831,TRUE,OK,PARSE ERROR
ldv-linux-4.2-rc1/linux-4.2-rc1.tar.xz-32_7a-drivers--md--dm-thin-pool.ko-entry_point_true-unreach-call.cil.out.c,TRUE,0.76280827,0.795860945,TRUE,OK,PARSE ERROR
ldv-linux-4.2-rc1/linux-4.2-rc1.tar.xz-32_7a-drivers--media--i2c--cx25840--cx25840.ko-entry_point_true-unreach-call.cil.out.c,TRUE,0.826194836,0.861249552,TRUE,OK,PARSE ERROR
ldv-linux-4.2-rc1/linux-4.2-rc1.tar.xz-32_7a-drivers--media--usb--dvb-usb-v2--dvb-usb-mxl111sf.ko-entry_point_true-unreach-call.cil.out.c,TRUE,0.696520992,0.733497301,TRUE,OK,PARSE ERROR
ldv-linux-4.2-rc1/linux-4.2-rc1.tar.xz-32_7a-drivers--media--usb--ttusb-budget--dvb-ttusb-budget.ko-entry_point_true-unreach-call.cil.out.c,TRUE,0.288460137,0.3220885,TRUE,OK,PARSE ERROR
ldv-linux-4.2-rc1/linux-4.2-rc1.tar.xz-32_7a-drivers--memstick--core--ms_block.ko-entry_point_true-unreach-call.cil.out.c,TRUE,0.342216313,0.363841567,TRUE,OK,PARSE ERROR
ldv-linux-4.2-rc1/linux-4.2-rc1.tar.xz-32_7a-drivers--message--fusion--mptctl.ko-entry_point_true-unreach-call.cil.out.c,TRUE,0.327408429,0.351403962,TRUE,OK,PARSE ERROR
ldv-linux-4.2-rc1/linux-4.2-rc1.tar.xz-32_7a-drivers--net--ethernet--broadcom--bnx2.ko-entry_point_true-unreach-call.cil.out.c,TRUE,0.833391887,0.861791441,TRUE,OK,PARSE ERROR
ldv-linux-4.2-rc1/linux-4.2-rc1.tar.xz-32_7a-drivers--scsi--osst.ko-entry_point_true-unreach-call.cil.out.c,TRUE,0.545615906,0.576010475,TRUE,OK,PARSE ERROR
ldv-linux-4.2-rc1/linux-4.2-rc1.tar.xz-32_7a-drivers--scsi--st.ko-entry_point_true-unreach-call.cil.out.c,TRUE,0.539364079,0.584008869,TRUE,OK,PARSE ERROR
ldv-linux-4.2-rc1/linux-4.2-rc1.tar.xz-32_7a-drivers--staging--lustre--lnet--lnet--lnet.ko-entry_point_true-unreach-call.cil.out.c,TRUE,1.637175052,1.658323104,TRUE,OK,PARSE ERROR
ldv-linux-4.2-rc1/linux-4.2-rc1.tar.xz-32_7a-drivers--staging--rts5208--rts5208.ko-entry_point_true-unreach-call.cil.out.c,TRUE,1.995634711,2.027241358,TRUE,OK,PARSE ERROR
ldv-linux-4.2-rc1/linux-4.2-rc1.tar.xz-32_7a-drivers--usb--dwc2--dwc2.ko-entry_point_true-unreach-call.cil.out.c,TRUE,1.719965403,1.771115943,TRUE,OK,PARSE ERROR
ldv-linux-4.2-rc1/linux-4.2-rc1.tar.xz-32_7a-drivers--usb--storage--usb-storage.ko-entry_point_true-unreach-call.cil.out.c,TRUE,0.567525387,0.591815054,TRUE,OK,PARSE ERROR
ldv-linux-4.2-rc1/linux-4.2-rc1.tar.xz-43_2a-drivers--crypto--qat--qat_common--intel_qat.ko-entry_point_true-unreach-call.cil.out.c,TRUE,0.749878319,0.776830853,TRUE,OK,PARSE ERROR
ldv-linux-4.2-rc1/linux-4.2-rc1.tar.xz-43_2a-drivers--md--dm-thin-pool.ko-entry_point_true-unreach-call.cil.out.c,TRUE,0.570090485,0.589351345,TRUE,OK,PARSE ERROR
ldv-linux-4.2-rc1/linux-4.2-rc1.tar.xz-43_2a-drivers--media--i2c--cx25840--cx25840.ko-entry_point_true-unreach-call.cil.out.c,TRUE,0.661446228,0.696494997,TRUE,OK,PARSE ERROR
ldv-linux-4.2-rc1/linux-4.2-rc1.tar.xz-43_2a-drivers--memstick--core--ms_block.ko-entry_point_true-unreach-call.cil.out.c,TRUE,0.308963155,0.345107585,TRUE,OK,PARSE ERROR
ldv-linux-4.2-rc1/linux-4.2-rc1.tar.xz-43_2a-drivers--net--ethernet--broadcom--bnx2.ko-entry_point_true-unreach-call.cil.out.c,TRUE,0.837211079,0.875230735,TRUE,OK,PARSE ERROR
ldv-linux-4.2-rc1/linux-4.2-rc1.tar.xz-43_2a-drivers--scsi--osst.ko-entry_point_true-unreach-call.cil.out.c,TRUE,0.505872157,0.540410328,TRUE,OK,PARSE ERROR
ldv-linux-4.2-rc1/linux-4.2-rc1.tar.xz-43_2a-drivers--staging--lustre--lnet--lnet--lnet.ko-entry_point_true-unreach-call.cil.out.c,TRUE,1.605118515,1.630365143,TRUE,OK,PARSE ERROR
ldv-linux-4.2-rc1/linux-4.2-rc1.tar.xz-43_2a-drivers--staging--rts5208--rts5208.ko-entry_point_true-unreach-call.cil.out.c,TRUE,1.919820345,1.969354069,TRUE,OK,PARSE ERROR
ldv-validator-v0.6/linux-stable-5934df9-1-111_1a-drivers--scsi--gdth.ko-entry_point_false-unreach-call.cil.out.c,false(reach),0.735413309,0.770204168,TRUE,OK,PARSE ERROR
ldv-validator-v0.8/linux-stable-5934df9-1-111_1a-drivers--scsi--gdth.ko-entry_point_ldv-val-v0.8_false-unreach-call.cil.out.c,false(reach),0.888321229,0.911248021,TRUE,OK,PARSE ERROR
